;KBP1437D;KBP1438D;KBP1440D;KBP1456D;KBP1457D;KBP1481D;KBP1482D;KBP1484D
19980228;0;;;;;0;0;
19980302;0;;;;;0;0;
19980303;0;;;;;0;0;
19980304;0;;;;;0;0;
19980305;0;;;;;0;0;
19980306;0;;;;;0;0;
19980307;0;;;;;0;0;
19980309;5000;;;;;0;33;
19980310;800;;;;;0;233;
19980311;900;;;;;0;0;
19980312;400;;;;;0;545;
19980313;900;;;;;0;11;
19980314;0;;;;;0;4;
19980316;1300;;;;;0;357;
19980317;1800;;;;;0;11;
19980318;250;;;;;0;54;
19980319;0;;;;;0;41;
19980320;500;;;;;0;345;
19980321;0;;;;;0;0;
19980323;1100;;;;;0;1135;
19980324;1800;;;;;0;0;
19980325;600;;;;;0;0;
19980326;0;;;;;0;0;
19980327;1000;;;;;0;98;
19980328;0;;;;;0;3;
19980330;800;;;;;0;15;
19980331;1200;;;;;0;243;
19980401;2400;;;;;0;17;
19980402;0;;;;;0;629;
19980403;1600;;;;;0;402;
19980404;0;;;;;0;316;
19980406;800;;;;;0;109;
19980407;1700;;;;;0;115;
19980408;2500;;;;;0;0;
19980409;1950;;;;;0;31;
19980410;0;;;;;0;0;
19980411;0;;;;;0;0;
19980413;0;;;;;0;0;
19980414;1800;;;;;0;0;
19980415;2300;;;;;0;0;
19980416;1000;;;;;0;554;
19980417;0;;;;;0;698;
19980418;0;;;;;0;1162;
19980420;500;;;;;0;1573;
19980421;2300;;;;;0;596;
19980422;3200;;;;;0;0;
19980423;0;;;;;0;285;
19980424;0;;;;;0;0;
19980425;0;;;;;0;0;
19980427;0;;;;;0;0;
19980428;2200;;;;;0;307;
19980429;1900;;;;;0;428;
19980430;0;;;;;0;42;
19980501;0;;;;;0;0;
19980502;0;;;;;0;9;
19980504;0;;;;;0;0;
19980505;2900;;;;;0;22;
19980506;2400;;;;;0;0;
19980507;600;;;;;0;0;
19980508;500;;;;;0;0;
19980509;0;;;;;0;0;
19980511;400;;;;;0;0;
19980512;2400;;;;;0;0;
19980513;800;;;;;0;150;
19980514;1500;;;;;0;1287;
19980515;2000;;;;;0;1449;
19980516;0;;;;;0;957;
19980518;500;;;;;0;2893;
19980519;2000;;;;;0;4982;
19980520;1500;;;;;0;4535;
19980521;1100;;;;;0;5704;
19980522;2000;;;;;0;7273;
19980523;0;;;;;0;7259;
19980525;1500;;;;;0;6683;
19980526;9000;;;;;0;313;
19980527;10500;;;;;0;746;
19980528;11500;;;;;0;779;
19980529;9000;;;;;0;940;
19980530;0;;;;;0;595;
19980601;8000;;;;;0;5505;
19980602;11000;;;;;0;2136;
19980603;12000;;;;;0;0;
19980604;12000;;;;;0;1027;
19980605;10800;;;;;0;1736;
19980606;0;;;;;0;1452;
19980608;10500;;;;;0;781;
19980609;10400;;;;;0;347;
19980610;10400;;;;;0;146;
19980611;10400;;;;;0;0;
19980612;9600;;;;;0;932;
19980613;0;;;;;0;113;
19980615;10100;;;;;0;0;
19980616;0;;;;;0;0;
19980617;10500;;;;;0;708;
19980618;12700;;;;;0;665;
19980619;10000;;;;;0;2394;
19980620;0;;;;;0;2726;
19980622;10000;;;;;0;1495;
19980623;12000;;;;;0;5;
19980624;12900;;;;;0;0;
19980625;11900;;;;;0;0;
19980626;10300;;;;;0;881;
19980627;0;;;;;0;2092;
19980629;11000;;;;;0;1561;
19980630;11000;;;;;0;0;
19980701;13000;;;;;0;509;
19980702;13200;;;;;0;657;
19980703;12600;;;;;0;121;
19980704;0;;;;;0;0;
19980706;12600;;;;;0;881;
19980707;12600;;;;;0;0;
19980708;12100;;;;;0;272;
19980709;11800;;;;;0;0;
19980710;11300;;;;;0;50;
19980711;0;;;;;0;41;
19980713;10800;;;;;0;408;
19980714;10500;;;;;0;0;
19980715;10900;;;;;0;0;
19980716;10000;;;;;0;743;
19980717;10000;;;;;0;458;
19980718;0;;;;;0;628;
19980720;9900;;;;;0;908;
19980721;10800;;;;;0;0;
19980722;9700;;;;;0;0;
19980723;10200;;;;;0;0;
19980724;9500;;;;;0;4;
19980725;0;;;;;0;0;
19980727;9100;;;;;0;30;
19980728;9300;;;;;0;545;
19980729;9500;;;;;0;0;
19980730;9900;;;;;0;0;
19980731;11200;;;;;0;334;
19980801;0;;;;;0;0;
19980803;11100;;;;;0;99;
19980804;11000;;;;;0;0;
19980805;10900;;;;;0;18;
19980806;10400;;;;;0;0;
19980807;10400;;;;;0;420;
19980808;0;;;;;0;401;
19980810;0;;;;;0;0;
19980811;10300;;;;;0;811;
19980812;10000;;;;;0;1429;
19980813;9900;;;;;0;441;
19980814;9200;;;;;0;759;
19980815;0;;;;;0;0;
19980817;8300;;;;;0;485;
19980818;8900;;;;;0;135;
19980819;8300;;;;;0;178;
19980820;8200;;;;;0;0;
19980821;8000;;;;;0;795;
19980822;0;;;;;0;1278;
19980824;9500;;;;;0;6;
19980825;9600;;;;;0;0;
19980826;10000;;;;;0;0;
19980827;10100;;;;;0;184;
19980828;9500;;;;;0;984;
19980829;0;;;;;0;336;
19980831;9800;;;;;0;0;
19980901;11000;;;;;0;580;
19980902;10400;;;;;0;304;
19980903;10000;;;;;0;324;
19980904;9500;;;;;0;33;
19980905;0;;;;;0;15;
19980907;9100;;;;;0;0;
19980908;8700;;;;;0;480;
19980909;8000;;;;;0;104;
19980910;7900;;;;;0;0;
19980911;7800;;;;;0;55;
19980912;0;;;;;0;0;
19980914;7000;;;;;0;202;
19980915;8100;;;;;0;0;
19980916;8200;;;;;0;0;
19980917;7900;;;;;0;76;
19980918;7500;;;;;0;0;
19980919;0;;;;;0;37;
19980921;7100;;;;;0;486;
19980922;7600;;;;;0;0;
19980923;7900;;;;;0;35;
19980924;0;;;;;0;0;
19980925;6700;;;;;0;731;
19980926;0;;;;;0;492;
19980928;6900;;;;;0;168;
19980929;7000;;;;;0;0;
19980930;6700;;;;;-271;0;
19981001;6700;;;;;0;0;
19981002;6400;;;;;-80;0;
19981003;0;;;;;0;0;
19981005;6200;;;;;0;459;
19981006;6400;;;;;0;0;
19981007;6600;;;;;-165;0;
19981008;6600;;;;;0;0;
19981009;6000;;;;;0;4;
19981010;0;;;;;0;0;
19981012;5600;;;;;0;0;
19981013;5500;;;;;0;0;
19981014;5550;;;;;-83;0;
19981015;5250;;;;;0;0;
19981016;5600;;;;;0;130;
19981017;0;;;;;-17;0;
19981019;5600;;;;;-70;0;
19981020;5900;;;;;0;122;
19981021;6000;;;;;0;0;
19981022;5700;;;;;-374;0;
19981023;5300;;;;;0;0;
19981024;0;;;;;0;0;
19981026;5700;;;;;0;0;
19981027;6400;;;;;-158;0;
19981028;6800;;;;;0;0;
19981029;6700;;;;;0;0;
19981030;5900;;;;;-11;0;
19981031;0;;;;;-35;0;
19981102;5700;;;;;0;0;
19981103;6200;;;;;0;0;
19981104;6500;;;;;0;0;
19981105;7300;;;;;-12;0;
19981106;6400;;;;;-50;0;
19981107;0;;;;;0;0;
19981109;6500;;;;;-27;0;
19981110;6200;;;;;0;0;
19981111;6500;;;;;0;0;
19981112;6900;;;;;0;0;
19981113;6800;;;;;-8;0;
19981114;0;;;;;0;0;
19981116;6900;;;;;0;6;
19981117;7300;;;;;0;0;
19981118;7500;;;;;-5;0;
19981119;7300;;;;;0;0;
19981120;6300;;;;;-6;0;
19981121;0;;;;;0;0;
19981123;6500;;;;;0;0;
19981124;6700;;;;;0;0;
19981125;6600;;;;;-46;0;
19981126;6900;;;;;-3;0;
19981127;6400;;;;;-50;0;
19981128;0;;;;;0;0;
19981130;6500;;;;;0;0;
19981201;6700;;;;;0;0;
19981202;7400;;;;;0;0;
19981203;7300;;;;;0;0;
19981204;7400;;;;;-2;0;
19981205;0;;;;;0;0;
19981207;7400;;;;;0;0;
19981208;7500;;;;;0;0;
19981209;7600;;;;;0;0;
19981210;7600;;;;;0;0;
19981211;6800;;;;;0;0;
19981212;0;;;;;0;0;
19981214;7100;;;;;0;0;
19981215;8100;;;;;-1;0;
19981216;0;;;;;0;0;
19981217;8800;;;;;0;0;
19981218;7800;;;;;-4;0;
19981219;0;;;;;0;0;
19981221;10400;;;;;0;59;
19981222;8600;;;;;0;0;
19981223;8900;;;;;-7;0;
19981224;8700;;;;;0;0;
19981225;0;;;;;0;0;
19981226;0;;;;;0;0;
19981228;8300;;;;;-140;0;
19981229;7700;;;;;0;0;
19981230;7200;;;;;0;0;
19981231;6300;;;;;0;0;
19990101;0;;;;;0;0;
19990102;0;;;;;0;0;
19990104;6000;;;;;0;7;
19990105;5300;;;;;0;0;
19990106;5100;;;;;0;0;
19990107;5100;;;;;0;0;
19990108;5400;;;;;0;4;
19990109;0;;;;;-1;0;
19990111;5500;;;;;0;0;
19990112;5400;;;;;0;0;
19990113;5100;;;;;0;0;
19990114;5400;;;;;0;0;
19990115;5500;;;;;-4;0;
19990116;0;;;;;0;0;
19990118;5500;;;;;0;0;
19990119;5600;;;;;-15;0;
19990120;5400;;;;;-7;0;
19990121;5000;;;;;-1;0;
19990122;5000;;;;;-1;0;
19990123;0;;;;;-2;0;
19990125;5100;;;;;-1;0;
19990126;5100;;;;;-16;0;
19990127;5000;;;;;0;0;
19990128;4500;;;;;-1;0;
19990129;4000;;;;;-8;0;
19990130;0;;;;;0;0;
19990201;4400;;;;;-2;0;
19990202;5000;;;;;0;5;
19990203;6000;;;;;0;0;
19990204;5700;;;;;0;0;
19990205;5400;;;;;0;0;
19990206;0;;;;;-2;0;
19990208;5100;;;;;0;0;
19990209;4900;;;;;0;0;
19990210;4900;;;;;0;0;
19990211;4600;;;;;-2;0;
19990212;4000;;;;;0;0;
19990213;0;;;;;0;0;
19990215;4000;;;;;0;0;
19990216;4200;;;;;0;0;
19990217;4500;;;;;0;0;
19990218;4300;;;;;0;0;
19990219;4900;;;;;-5;0;
19990220;0;;;;;0;0;
19990222;5100;;;;;0;0;
19990223;4600;;;;;0;0;
19990224;4400;;;;;0;0;
19990225;4300;;;;;0;0;
19990226;4100;;;;;-1;0;
19990227;0;;;;;-1;0;
19990301;4700;;;;;-8;0;
19990302;4900;;;;;-1;0;
19990303;5000;;;;;0;0;
19990304;4500;;;;;-1;0;
19990305;4400;;;;;0;0;
19990306;0;;;;;0;0;
19990308;4100;;;;;0;0;
19990309;4000;;;;;0;0;
19990310;4200;;;;;0;0;
19990311;4000;;;;;0;0;
19990312;4000;;;;;-1;0;
19990313;0;;;;;-1;0;
19990315;4100;;;;;-1;0;
19990316;4000;;;;;0;0;
19990317;3700;;;;;0;0;
19990318;4000;;;;;-6;0;
19990319;4100;;;;;-6;0;
19990320;0;;;;;0;0;
19990322;0;;;;;0;0;
19990323;4000;;;;;0;0;
19990324;3500;;;;;0;0;
19990325;4000;;;;;0;0;
19990326;3900;;;;;-1;0;
19990327;0;;;;;0;0;
19990329;3600;;;;;0;0;
19990330;3700;;;;;0;0;
19990331;4600;;;;;0;0;
19990401;5000;;;;;-411;0;
19990402;0;;;;;0;0;
19990403;0;;;;;-1;0;
19990405;0;;;;;0;0;
19990406;3900;;;;;0;1;
19990407;4700;;;;;0;0;
19990408;4400;;;;;0;0;
19990409;4300;;;;;-230;0;
19990410;0;;;;;-1;0;
19990412;4400;;;;;0;0;
19990413;4000;;;;;-10;0;
19990414;4400;;;;;0;1;
19990415;4000;;;;;0;0;
19990416;4100;;;;;-2;0;
19990417;0;;;;;-1;0;
19990419;3500;;;;;-2;0;
19990420;4300;;;;;-2;0;
19990421;4300;;;;;-2;0;
19990422;4000;;;;;0;4;
19990423;4400;;;;;0;153;
19990424;0;;;;;-3;0;
19990426;4100;;;;;-2;0;
19990427;0;;;;;0;0;
19990428;4400;;;;;-1;0;
19990429;4900;;;;;-2;0;
19990430;4330;;;;;-1;0;
19990501;0;0;;;;0;0;
19990503;5100;0;;;;0;0;
19990504;6000;438;;;;-1;0;
19990505;6600;0;;;;0;0;
19990506;6800;411;;;;-1;0;
19990507;7500;-270;;;;-1;0;
19990508;0;0;;;;-2;0;
19990510;7500;0;;;;-1;0;
19990511;7500;0;;;;0;0;
19990512;7500;0;;;;-1;0;
19990513;7450;0;;;;0;0;
19990514;7180;0;;;;-11;0;
19990515;0;0;;;;0;0;
19990517;7390;390;;;;-3;0;
19990518;7390;480;;;;-2;0;
19990519;7650;0;;;;-4;0;
19990520;7895;0;;;;0;88;
19990521;7390;0;;;;-1;0;
19990522;0;0;;;;-1;0;
19990524;7600;-315;;;;-1;0;
19990525;7400;-230;;;;-1;0;
19990526;7200;0;;;;-1;0;
19990527;6800;0;;;;-1;0;
19990528;6700;533;;;;-2;0;
19990529;0;0;;;;-2;0;
19990531;7100;0;;;;-1;0;
19990601;7500;0;;;;-1;0;
19990602;0;0;;;;0;0;
19990603;8500;30;;;;-1;0;
19990604;8600;0;;;;-3;0;
19990605;0;0;;;;-2;0;
19990607;8610;0;;;;-1;0;
19990608;8800;-500;;;;-2;0;
19990609;8800;-680;;;;-1;0;
19990610;8800;0;;;;-2;0;
19990611;8800;0;;;;-1;0;
19990612;0;0;;;;-2;0;
19990614;8800;0;;;;-1;0;
19990615;9000;380;;;;-1;0;
19990616;0;0;;;;0;0;
19990617;9300;0;;;;-1;0;
19990618;8900;0;;;;-5;0;
19990619;0;0;;;;-1;0;
19990621;8900;0;;;;-1;0;
19990622;9000;0;;;;0;0;
19990623;8900;298;;;;-1;0;
19990624;9100;0;;;;0;17;
19990625;9000;0;;;;-6;0;
19990626;0;0;;;;0;1;
19990628;8500;0;;;;-1;0;
19990629;7785;440;;;;-1;0;
19990630;9115;0;;;;-1;0;
19990701;9000;0;;;;-1;0;
19990702;9400;0;;;;0;37;
19990703;0;0;;;;-1;0;
19990705;9339;0;;;;0;0;
19990706;10200;0;;;;-1;0;
19990707;10500;-460;;;;-1;0;
19990708;10500;0;;;;0;19;
19990709;10600;0;;;;-1;0;
19990710;0;0;;;;-1;0;
19990712;10800;0;;;;-1;0;
19990713;11400;0;;;;-1;0;
19990714;11774;0;;;;-6;0;
19990715;11565;398;;;;0;11;
19990716;11400;0;;;;-2;0;
19990717;0;0;;;;-1;0;
19990719;11700;0;;;;-1;0;
19990720;11900;528;;;;-2;0;
19990721;11400;-500;;;;-3;0;
19990722;11900;0;;;;-1;0;
19990723;11478;0;;;;-2;0;
19990724;0;0;;;;-1;0;
19990726;11723;13;;;;-2;0;
19990727;11338;0;;;;-9;0;
19990728;11838;0;;;;-11;0;
19990729;11888;0;;;;-36;0;
19990730;12300;0;;;;-7;0;
19990731;0;0;;;;-7;0;
19990802;12200;0;;;;-12;0;
19990803;12318;400;;;;-13;0;
19990804;12435;0;;;;-2;0;
19990805;12800;200;;;;0;0;
19990806;12633;0;;;;-2;0;
19990807;0;0;;;;-2;0;
19990809;0;0;;;;-2;0;
19990810;12600;0;;;;-2;0;
19990811;12500;-121;;;;-1;0;
19990812;12498;0;;;;-1;0;
19990813;12400;-300;;;;-2;0;
19990814;0;0;;;;-1;0;
19990816;12400;0;;;;-1;0;
19990817;11887;168;;;;-2;0;
19990818;12387;0;;;;-1;0;
19990819;12206;0;;;;-1;0;
19990820;11760;0;;;;-5;0;
19990821;0;0;;;;-1;0;
19990823;11860;0;;;;-1;0;
19990824;12360;0;;;;-1;0;
19990825;11560;0;;;;0;18;
19990826;12400;0;;;;-2;0;
19990827;11770;0;;;;-2;0;
19990828;0;90;;;;-1;0;
19990830;12400;500;;;;-2;0;
19990831;12600;0;;;;-1;0;
19990901;12430;0;;;;-1;0;
19990902;11360;0;;;;-1;0;
19990903;12120;0;;;;-2;0;
19990904;0;0;;;;-2;0;
19990906;12600;0;;;;-1;0;
19990907;12045;0;;;;-5;0;
19990908;11940;0;;;;-3;0;
19990909;11955;0;;;;-3;0;
19990910;11940;0;;;;-3;0;
19990911;0;0;;;;-2;0;
19990913;11900;0;;;;-4;0;
19990914;11500;0;;;;-1;0;
19990915;11500;0;;;;-1;0;
19990916;11700;31;;;;-1;0;
19990917;11580;0;;;;-1;0;
19990918;0;0;;;;-1;0;
19990920;10630;1031;;;;0;35;
19990921;11800;0;;;;-1;0;
19990922;11620;250;;;;0;0;
19990923;11200;0;;;;-3;0;
19990924;0;0;;;;0;0;
19990925;0;0;;;;0;0;
19990927;11700;0;;;;-40;0;
19990928;11600;469;;;;-6;0;
19990929;11380;266;;;;0;0;
19990930;11300;0;;;;-4;0;
19991001;11310;245;;;;-2;0;
19991002;0;0;;;;-1;0;
19991004;10760;450;;;;-1;0;
19991005;11200;0;;;;-6;0;
19991006;11000;0;;;;-1;0;
19991007;10800;0;;;;-1;0;
19991008;10700;0;;;;-1;0;
19991009;0;0;;;;-1;0;
19991011;10190;0;;;;-1;0;
19991012;10500;0;;;;0;0;
19991013;10500;-256;;;;-1;0;
19991014;10730;0;;;;-1;0;
19991015;10500;0;;;;-10;0;
19991016;0;0;;;;-2;0;
19991018;10600;0;;;;-1;0;
19991019;10800;0;;;;-1;0;
19991020;10600;-366;;;;-2;0;
19991021;10077;0;;;;-1;0;
19991022;9500;0;;;;-2;0;
19991023;0;0;;;;-2;0;
19991025;9900;0;;;;-2;0;
19991026;10100;0;;;;0;61;
19991027;9100;-390;;;;0;50;
19991028;9100;0;;;;0;108;
19991029;8800;0;;;;-50;0;
19991030;0;0;;;;-12;0;
19991101;8500;92;;;;-11;0;
19991102;8500;0;;;;-12;0;
19991103;8500;-485;;;;-13;0;
19991104;8000;0;;;;-43;0;
19991105;8100;-230;;;;-14;0;
19991106;0;0;;;;-13;0;
19991108;7500;0;;;;-1;0;
19991109;7500;0;;;;0;9;
19991110;7000;-450;;;;-1;0;
19991111;6700;0;;;;-2;0;
19991112;6500;0;;;;-3;0;
19991113;0;0;;;;-2;0;
19991115;6700;0;;;;-1;0;
19991116;6700;0;;;;0;7;
19991117;6500;0;;;;-11;0;
19991118;6500;-74;;;;-15;0;
19991119;6500;0;;;;-17;0;
19991120;0;0;;;;-16;0;
19991122;6400;360;;;;-17;0;
19991123;6300;0;;;;-17;0;
19991124;6200;0;;;;-2;0;
19991125;6200;-415;;;;-2;0;
19991126;6100;0;;;;-6;0;
19991127;0;0;;;;-6;0;
19991129;6400;440;;;;-5;0;
19991130;5600;111;;;;-12;0;
19991201;4900;0;;;;-2;0;
19991202;4600;0;;;;-2;0;
19991203;4500;520;;;;-19;0;
19991204;0;0;;;;-20;0;
19991206;4500;0;;;;-1;0;
19991207;4500;0;;;;-5;0;
19991208;4500;-215;;;;-3;0;
19991209;3900;-280;;;;-2;0;
19991210;3800;-372;;;;-6;0;
19991211;0;0;;;;-5;0;
19991213;3700;0;;;;-3;0;
19991214;3400;272;;;;-2;0;
19991215;3100;-541;;;;-12;0;
19991216;0;0;;;;0;0;
19991217;3100;248;;;;-14;0;
19991218;0;0;;;;-14;0;
19991220;3100;560;;;;-15;0;
19991221;3800;0;;;;-7;0;
19991222;3900;-1175;;;;0;1;
19991223;3200;-225;;;;0;47;
19991224;3500;1068;;;;-5;0;
19991225;0;0;;;;0;0;
19991227;0;0;;;;0;0;
19991228;4000;0;;;;-9;0;
19991229;3900;622;;;;-10;0;
19991230;3300;890;;;;-3;0;
19991231;0;0;;;;0;0;
20000101;0;0;;;;0;0;
20000103;2410;-221;;;;-2;0;
20000104;3500;-318;;;;0;53;
20000105;3800;0;;;;0;30;
20000106;4500;0;;;;0;70;
20000107;4400;-526;;;;-3;0;
20000108;0;0;;;;-14;0;
20000110;4700;-284;;;;0;44;
20000111;5400;-265;;;;0;68;
20000112;5500;-397;;;;-2;0;
20000113;6000;0;;;;-2;0;
20000114;6300;-170;;;;-11;0;
20000115;0;0;;;;-10;0;
20000117;6300;0;;;;-11;0;
20000118;6500;0;;;;-11;0;
20000119;6600;0;;;;-3;0;
20000120;6100;-373;;;;-7;0;
20000121;6000;0;;;;-12;0;
20000122;0;0;;;;-4;0;
20000124;6100;109;;;;-7;0;
20000125;6700;0;;;;0;10;
20000126;6000;0;;;;-10;0;
20000127;6100;0;;;;0;5;
20000128;6400;198;;;;0;12;
20000129;0;0;;;;0;17;
20000131;5600;47;;;;-7;0;
20000201;6400;-530;;;;-7;0;
20000202;6000;0;;;;-7;0;
20000203;6500;0;;;;-2;0;
20000204;6400;-327;;;;-3;0;
20000205;0;0;;;;-1;0;
20000207;6300;0;;;;-2;0;
20000208;6200;0;;;;-2;0;
20000209;6200;-393;;;;-2;0;
20000210;6300;0;;;;-612;0;
20000211;6100;0;;;;-6;0;
20000212;0;0;;;;-33;0;
20000214;6200;0;;;;-5;0;
20000215;6400;0;;;;-13;0;
20000216;6700;0;;;;0;2;
20000217;6700;195;;;;-2;0;
20000218;6700;0;;;;-6;0;
20000219;0;-123;;;;-6;0;
20000221;7400;275;;;;-2;0;
20000222;7600;0;;;;-3;0;
20000223;7500;0;;;;-3;0;
20000224;7500;0;;;;-4;0;
20000225;7300;0;;;;-9;0;
20000226;0;0;;;;-9;0;
20000228;7600;667;;;;-2;0;
20000229;7700;0;;;;-7;0;
20000301;7700;0;;;;-16;0;
20000302;7600;400;;;;-8;0;
20000303;7500;0;;;;-34;0;
20000304;0;0;;;;-33;0;
20000306;7200;173;;;;0;108;
20000307;7200;-230;;;;0;88;
20000308;7100;0;;;;-2;0;
20000309;7100;0;;;;-2;0;
20000310;7100;-112;;;;-3;0;
20000311;0;0;;;;-3;0;
20000313;7000;0;;;;-5;0;
20000314;7100;0;;;;-3;0;
20000315;7300;-280;;;;0;25;
20000316;7300;0;;;;-13;0;
20000317;7200;0;;;;-14;0;
20000318;0;0;;;;-14;0;
20000320;7100;22;;;;-18;0;
20000321;0;0;;;;0;0;
20000322;7650;0;;;;-18;0;
20000323;7550;-206;;;;-4;0;
20000324;7600;-460;;;;-8;0;
20000325;0;0;;;;-8;0;
20000327;7100;-612;;;;-10;0;
20000328;7100;0;;;;-10;0;
20000329;7200;0;;;;-2;0;
20000330;7300;0;;;;-448;0;
20000331;8000;-860;;;;-48;0;
20000401;0;0;;;;-7;0;
20000403;7700;0;;;;-4;0;
20000404;7900;-535;;;;-4;0;
20000405;7700;-781;;;;-6;0;
20000406;7840;230;;;;-6;0;
20000407;8100;-250;;;;-8;0;
20000408;0;0;;;;-7;0;
20000410;7740;0;;;;-7;0;
20000411;8100;0;;;;-7;0;
20000412;8200;0;;;;-2;0;
20000413;8240;309;;;;-3;0;
20000414;8500;0;;;;-12;0;
20000415;0;0;;;;-11;0;
20000417;8040;0;;;;-1;0;
20000418;8400;230;;;;-1;0;
20000419;8500;0;;;;-4;0;
20000420;8500;350;;;;-9;0;
20000421;0;0;;;;0;0;
20000422;0;0;;;;-8;0;
20000424;0;0;;;;0;0;
20000425;8600;-220;;;;-10;0;
20000426;8600;0;;;;-12;0;
20000427;0;0;;;;0;0;
20000428;8300;0;;;;-10;0;
20000429;0;-400;;;;-10;0;
20000501;0;0;;;;0;0;
20000502;8500;0;;;;-6;0;
20000503;8700;-570;;;;-7;0;
20000504;8800;0;;;;-8;0;
20000505;8700;-361;;;;-4;0;
20000506;0;0;;;;-3;0;
20000508;8500;0;;;;-4;0;
20000509;8500;0;;;;-4;0;
20000510;8500;0;;;;-15;0;
20000511;8700;350;;;;-4;0;
20000512;8500;0;;;;-2;0;
20000513;0;0;;;;-2;0;
20000515;8200;260;;;;-10;0;
20000516;8500;0;;;;-7;0;
20000517;8400;0;;;;-6;0;
20000518;8500;0;;;;-1;0;
20000519;8500;0;;;;-5;0;
20000520;0;-228;;;;-4;0;
20000522;8500;96;;;;-7;0;
20000523;8700;0;;;;-6;0;
20000524;9000;540;;;;-7;0;
20000525;9000;220;;;;-10;0;
20000526;9000;240;;;;-14;0;
20000527;0;0;;;;-15;0;
20000529;9200;590;;;;-5;0;
20000530;9000;0;;;;-23;0;
20000531;9200;-560;;;;-14;0;
20000601;9000;-230;;;;-2;0;
20000602;8860;-390;;;;-3;0;
20000603;0;0;;;;-1;0;
20000605;8260;490;;;;-3;0;
20000606;8600;0;;;;-4;0;
20000607;8700;0;;;;-4;0;
20000608;8475;0;;;;-5;0;
20000609;8700;-355;;;;-6;0;
20000610;0;0;;;;-9;0;
20000612;8500;0;;;;-6;0;
20000613;8600;0;;;;-8;0;
20000614;8800;0;;;;-7;0;
20000615;8800;0;;;;-13;0;
20000616;0;0;;;;0;0;
20000617;0;-250;;;;-14;0;
20000619;8800;0;;;;-13;0;
20000620;8700;0;;;;-4;0;
20000621;8900;-114;;;;-5;0;
20000622;8720;320;;;;-5;0;
20000623;9400;0;;;;-9;0;
20000624;0;0;;;;-9;0;
20000626;9000;65;;;;-9;0;
20000627;8500;0;;;;-11;0;
20000628;8420;0;;;;-12;0;
20000629;8670;0;;;;-11;0;
20000630;8900;-230;;;;-11;0;
20000701;0;0;;;;-11;0;
20000703;7530;0;;;;-2;0;
20000704;9200;0;;;;-1;0;
20000705;9000;0;;;;-3;0;
20000706;8500;0;;;;-32;0;
20000707;8600;-710;;;;-2;0;
20000708;0;0;;;;-1;0;
20000710;8500;0;;;;-2;0;
20000711;8400;0;;;;-2;0;
20000712;8600;0;;;;-2;0;
20000713;8500;0;;;;-3;0;
20000714;8600;0;;;;-10;0;
20000715;0;0;;;;-16;0;
20000717;8700;490;;;;-17;0;
20000718;8700;0;;;;-11;0;
20000719;8600;0;;;;-3;0;
20000720;8500;280;;;;-3;0;
20000721;8700;0;;;;-2;0;
20000722;0;0;;;;-3;0;
20000724;8500;0;;;;-3;0;
20000725;9000;0;;;;-5;0;
20000726;8430;146;;;;-7;0;
20000727;8500;300;;;;-5;0;
20000728;8800;-200;;;;-5;0;
20000729;0;0;;;;-5;0;
20000731;8900;0;;;;-11;0;
20000801;9100;-422;;;;-1;0;
20000802;8800;0;;;;-1;0;
20000803;8700;0;;;;-2;0;
20000804;8800;-345;;;;-4;0;
20000805;0;0;;;;-3;0;
20000807;8700;0;;;;-2;0;
20000808;8900;-290;;;;-3;0;
20000809;0;0;;;;0;0;
20000810;9000;-216;;;;-4;0;
20000811;8800;258;;;;-4;0;
20000812;0;0;;;;-4;0;
20000814;8700;0;;;;-4;0;
20000815;8700;0;;;;-12;0;
20000816;8700;0;;;;-13;0;
20000817;8700;0;;;;-1;0;
20000818;8400;0;;;;-5;0;
20000819;0;0;;;;-4;0;
20000821;8400;-151;;;;0;0;
20000822;8400;0;;;;-7;0;
20000823;8300;0;;;;-7;0;
20000824;8600;0;;;;-7;0;
20000825;8600;0;;;;-5;0;
20000826;0;0;;;;-5;0;
20000828;8700;310;;;;-5;0;
20000829;8800;0;;;;-10;0;
20000830;8800;0;;;;-12;0;
20000831;8800;-400;;;;-9;0;
20000901;8800;0;;;;-8;0;
20000902;0;0;;;;-8;0;
20000904;8800;0;;;;-10;0;
20000905;8900;0;;;;-8;0;
20000906;8400;0;;;;-9;0;
20000907;8400;0;;;;-9;0;
20000908;8500;-340;;;;-9;0;
20000909;0;0;;;;-10;0;
20000911;8500;-201;;;;-9;0;
20000912;8500;230;;;;-11;0;
20000913;8600;-211;;;;-10;0;
20000914;8500;-306;;;;-10;0;
20000915;8500;0;;;;-20;0;
20000916;0;0;;;;-24;0;
20000918;8700;500;;;;-19;0;
20000919;9300;-367;;;;-19;0;
20000920;9200;-466;;;;-23;0;
20000921;8900;450;;;;-24;0;
20000922;9000;0;;;;-30;0;
20000923;0;0;;;;-30;0;
20000925;0;0;;;;0;0;
20000926;8500;0;;;;-28;0;
20000927;8500;575;;;;-29;0;
20000928;8800;342;;;;-29;0;
20000929;8600;0;;;;-7;0;
20000930;0;0;;;;-7;0;
20001002;8600;0;;;;0;3;
20001003;8600;0;;;;-6;0;
20001004;8600;0;;;;-7;0;
20001005;8600;0;;;;-6;0;
20001006;8500;0;;;;-5;0;
20001007;0;0;;;;-5;0;
20001009;8400;0;;;;-5;0;
20001010;8400;0;;;;-6;0;
20001011;8500;-561;;;;-5;0;
